1784729341.660143 [0] unitree_sa: config: //CycloneDDS/Domain/General: 'NetworkInterfaceAddress': deprecated element (file:///tmp/go2_cyclonedds_eth0.xml line 4)
[INFO] [1784729342.090080480] [unitree_safe_cmd_node]: unitree_safe_cmd_node ACTIVE: obstacle -> Move(0,0,0), resume after 5 clear frames; lateral swept ROI enabled
[INFO] [1784729342.092296108] [unitree_safe_cmd_node]: output mode: Twist -> /cmd_vel
[INFO] [1784729389.488771988] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=0.000, stop_count=0, roi_count=10, lateral_count=0, nearest_x=1.29, clear_frames=401
[INFO] [1784729390.039334299] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=-0.064, stop_count=0, roi_count=8, lateral_count=0, nearest_x=1.36, clear_frames=406
[INFO] [1784729390.588959779] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=-0.067, stop_count=0, roi_count=13, lateral_count=0, nearest_x=1.30, clear_frames=412
[INFO] [1784729391.139991103] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=-0.007, stop_count=0, roi_count=6, lateral_count=0, nearest_x=1.39, clear_frames=418
[INFO] [1784729391.641284983] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=0.000, stop_count=0, roi_count=11, lateral_count=0, nearest_x=1.35, clear_frames=424
[INFO] [1784729392.189435190] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=-0.050, stop_count=0, roi_count=12, lateral_count=0, nearest_x=1.35, clear_frames=429
[INFO] [1784729392.689480982] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=0.000, stop_count=0, roi_count=6, lateral_count=0, nearest_x=1.39, clear_frames=435
[INFO] [1784729393.238532640] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=0.000, stop_count=0, roi_count=10, lateral_count=0, nearest_x=1.34, clear_frames=441
[INFO] [1784729393.738933480] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=-0.054, stop_count=0, roi_count=8, lateral_count=0, nearest_x=1.33, clear_frames=446
[INFO] [1784729394.288581770] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=-0.062, stop_count=0, roi_count=0, lateral_count=0, nearest_x=inf, clear_frames=452
[INFO] [1784729394.788646240] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=0.000, stop_count=0, roi_count=18, lateral_count=0, nearest_x=1.31, clear_frames=457
[INFO] [1784729395.288811600] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=0.000, stop_count=0, roi_count=7, lateral_count=0, nearest_x=1.31, clear_frames=462
[INFO] [1784729395.788885607] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=-0.057, stop_count=0, roi_count=6, lateral_count=0, nearest_x=1.40, clear_frames=467
[INFO] [1784729396.338837735] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=-0.050, stop_count=0, roi_count=6, lateral_count=0, nearest_x=1.33, clear_frames=473
