wall_time,local_time,x,y,route_progress_m,cross_track_m,signed_cross_track_m,heading_error_vs_csv_yaw_deg,odom_stamp_age_ms
1784986260.321189,2026-07-25T21:31:00.321+08:00,5.551900,0.249194,5.579188,0.047756,0.047756,3.338732,344.925
1784986260.421288,2026-07-25T21:31:00.421+08:00,5.599526,0.241404,5.626912,0.040592,0.040592,3.464521,345.571
1784986260.521080,2026-07-25T21:31:00.521+08:00,5.648406,0.230357,5.675933,0.030188,0.030188,3.163876,345.196
1784986260.621200,2026-07-25T21:31:00.621+08:00,5.701315,0.233032,5.728802,0.033558,0.033558,2.675542,345.897
1784986260.722760,2026-07-25T21:31:00.722+08:00,5.751047,0.230870,5.778558,0.032049,0.032049,2.070208,348.097
1784986260.821827,2026-07-25T21:31:00.821+08:00,5.792176,0.224655,5.819766,0.026375,0.026375,1.591154,347.804
1784986260.921539,2026-07-25T21:31:00.921+08:00,5.834603,0.225197,5.862181,0.027473,0.027473,1.182706,348.155
1784986261.071248,2026-07-25T21:31:01.071+08:00,5.920458,0.218639,5.946531,0.022107,0.022107,1.305816,299.338
1784986261.171227,2026-07-25T21:31:01.171+08:00,5.961988,0.219499,5.987839,0.026483,0.026483,1.299694,299.853
1784986261.271264,2026-07-25T21:31:01.271+08:00,6.009340,0.211883,6.035667,0.022908,0.022908,0.980365,300.471
1784986261.371271,2026-07-25T21:31:01.371+08:00,6.054445,0.212841,6.080528,0.027685,0.027685,0.738208,301.088
1784986261.471472,2026-07-25T21:31:01.471+08:00,6.096107,0.209180,6.122351,0.027568,0.027568,0.747838,301.929
1784986261.571195,2026-07-25T21:31:01.571+08:00,6.143388,0.205471,6.169775,0.027880,0.027880,0.249018,302.292
1784986261.671518,2026-07-25T21:31:01.671+08:00,6.188444,0.199978,6.215135,0.026225,0.026225,0.169621,303.255
1784986261.771213,2026-07-25T21:31:01.771+08:00,6.236099,0.202141,6.262436,0.032418,0.032418,0.550601,303.590
1784986261.871207,2026-07-25T21:31:01.871+08:00,6.284914,0.201807,6.311102,0.036222,0.036222,0.562642,304.224
1784986261.971207,2026-07-25T21:31:01.971+08:00,6.346525,0.211440,6.371676,0.051043,0.051043,0.368577,304.864
1784986262.074518,2026-07-25T21:31:02.074+08:00,6.405900,0.221727,6.430369,0.066190,0.066190,0.157320,308.815
1784986262.171258,2026-07-25T21:31:02.171+08:00,6.455163,0.217617,6.479803,0.065968,0.065968,0.388111,306.195
1784986262.271240,2026-07-25T21:31:02.271+08:00,6.507956,0.213059,6.532791,0.065578,0.065578,0.150047,306.817
1784986262.371248,2026-07-25T21:31:02.371+08:00,6.568828,0.208531,6.593831,0.065853,0.065853,0.148456,307.554
1784986262.471179,2026-07-25T21:31:02.471+08:00,6.624790,0.200709,6.650235,0.062457,0.062457,0.114079,310.659
1784986262.571168,2026-07-25T21:31:02.571+08:00,6.671469,0.187531,6.697805,0.052994,0.052994,0.383603,311.560
1784986262.671316,2026-07-25T21:31:02.671+08:00,6.716376,0.180606,6.743118,0.049623,0.049623,0.268768,312.313
1784986262.771289,2026-07-25T21:31:02.771+08:00,6.754943,0.169314,6.782454,0.041400,0.041400,0.024464,312.926
1784986262.871180,2026-07-25T21:31:02.871+08:00,6.806757,0.167978,6.834213,0.044144,0.044144,0.516725,313.457
1784986262.971142,2026-07-25T21:31:02.971+08:00,6.844355,0.161339,6.872217,0.040484,0.040484,0.442468,314.059
1784986263.071743,2026-07-25T21:31:03.071+08:00,6.885534,0.163769,6.916422,0.045043,0.045043,0.810214,315.300
1784986263.172743,2026-07-25T21:31:03.172+08:00,6.930791,0.162099,6.961688,0.043618,0.043618,0.690551,316.940
1784986263.321190,2026-07-25T21:31:03.321+08:00,6.973547,0.152626,7.004495,0.034376,0.034376,0.338834,366.027
1784986263.421390,2026-07-25T21:31:03.421+08:00,7.017473,0.150869,7.048429,0.032856,0.032856,0.091400,366.931
1784986263.521198,2026-07-25T21:31:03.521+08:00,7.063524,0.143205,7.094521,0.025441,0.025441,0.048416,367.379
1784986263.621189,2026-07-25T21:31:03.621+08:00,7.121975,0.146660,7.152952,0.029211,0.029211,0.197119,368.011
1784986263.721133,2026-07-25T21:31:03.721+08:00,7.173457,0.155452,7.204386,0.038281,0.038281,0.456560,368.530
1784986263.821201,2026-07-25T21:31:03.821+08:00,7.219710,0.153748,7.250648,0.036826,0.036826,0.419925,369.302
1784986263.921138,2026-07-25T21:31:03.921+08:00,7.272842,0.156782,7.303762,0.040147,0.040147,0.596466,369.880
1784986264.021140,2026-07-25T21:31:04.021+08:00,7.332539,0.156491,7.361770,0.040763,0.040763,0.545332,370.234
1784986264.121291,2026-07-25T21:31:04.121+08:00,7.384606,0.154112,7.413891,0.040842,0.040842,0.048560,371.313
1784986264.221165,2026-07-25T21:31:04.221+08:00,7.424910,0.149011,7.454391,0.037648,0.037648,0.246033,371.405
1784986264.321227,2026-07-25T21:31:04.321+08:00,7.475450,0.147948,7.504924,0.038969,0.038969,0.199255,369.604
1784986264.421185,2026-07-25T21:31:04.421+08:00,7.527553,0.149281,7.556906,0.042757,0.042757,0.334505,370.201
1784986264.521187,2026-07-25T21:31:04.521+08:00,7.627371,0.138819,7.657106,0.037013,0.037013,0.212196,271.498
1784986264.621210,2026-07-25T21:31:04.621+08:00,7.677216,0.135306,7.707062,0.035855,0.035855,0.093548,272.147
1784986264.721322,2026-07-25T21:31:04.721+08:00,7.724906,0.130430,7.754929,0.033232,0.033232,0.030193,272.899
1784986264.821229,2026-07-25T21:31:04.821+08:00,7.770371,0.117148,7.800970,0.022109,0.022109,0.367220,273.446
1784986264.921137,2026-07-25T21:31:04.921+08:00,7.823412,0.111822,7.855151,0.017849,0.017849,0.232529,273.994
1784986265.021341,2026-07-25T21:31:05.021+08:00,7.873318,0.113933,7.905065,0.019766,0.019766,0.007564,274.838
1784986265.171198,2026-07-25T21:31:05.171+08:00,7.914554,0.115802,7.946308,0.021473,0.021473,0.087219,325.335
1784986265.221243,2026-07-25T21:31:05.221+08:00,7.958126,0.109388,7.989855,0.014889,0.014889,0.263839,276.020
1784986265.322310,2026-07-25T21:31:05.322+08:00,8.003489,0.106475,8.035206,0.011799,0.011799,0.154258,277.727
1784986265.471355,2026-07-25T21:31:05.471+08:00,8.057736,0.103865,8.089443,0.008977,0.008977,0.153804,327.412
1784986265.571216,2026-07-25T21:31:05.571+08:00,8.100864,0.103563,8.132569,0.008506,0.008506,0.393243,327.913
1784986265.671449,2026-07-25T21:31:05.671+08:00,8.143818,0.107876,8.175540,0.012651,0.012651,0.465762,328.786
1784986265.771292,2026-07-25T21:31:05.771+08:00,8.197315,0.103116,8.229018,0.007681,0.007681,0.228335,329.358
1784986265.871244,2026-07-25T21:31:05.871+08:00,8.254354,0.107547,8.286073,0.011890,0.011890,0.163085,329.890
1784986265.971210,2026-07-25T21:31:05.971+08:00,8.302007,0.099504,8.333184,0.007238,0.007238,0.126192,330.467
1784986266.071262,2026-07-25T21:31:06.071+08:00,8.354323,0.099929,8.385251,0.012351,0.012351,0.043258,331.159
1784986266.171184,2026-07-25T21:31:06.171+08:00,8.406560,0.108129,8.436544,0.025200,0.025200,0.144114,331.721
1784986266.271204,2026-07-25T21:31:06.271+08:00,8.463198,0.106757,8.493076,0.028910,0.028910,0.383690,332.381
1784986266.371187,2026-07-25T21:31:06.371+08:00,8.497602,0.102842,8.527693,0.028094,0.028094,0.716897,333.019
1784986266.471221,2026-07-25T21:31:06.471+08:00,8.542379,0.101444,8.572415,0.030715,0.030715,0.755667,333.678
1784986266.571237,2026-07-25T21:31:06.571+08:00,8.595856,0.098497,8.625941,0.032572,0.032572,0.462097,334.333
1784986266.671365,2026-07-25T21:31:06.671+08:00,8.648786,0.094874,8.678983,0.033708,0.033708,0.062102,335.102
1784986266.771187,2026-07-25T21:31:06.771+08:00,8.693742,0.086574,8.724502,0.029471,0.029471,0.145523,335.564
1784986266.871429,2026-07-25T21:31:06.871+08:00,8.740970,0.083290,8.773684,0.028559,0.028559,0.000803,336.699
1784986266.971245,2026-07-25T21:31:06.971+08:00,8.793857,0.079355,8.826658,0.026054,0.026054,0.152470,337.080
1784986267.071264,2026-07-25T21:31:07.071+08:00,8.836709,0.077055,8.869557,0.024914,0.024914,0.304950,337.665
1784986267.171287,2026-07-25T21:31:07.171+08:00,8.873871,0.081586,8.906583,0.030447,0.030447,0.492231,338.268
1784986267.271269,2026-07-25T21:31:07.271+08:00,8.918400,0.077832,8.951197,0.027898,0.027898,0.386571,338.861
1784986267.371104,2026-07-25T21:31:07.371+08:00,8.966791,0.083586,8.999415,0.034957,0.034957,0.237679,339.321
1784986267.471384,2026-07-25T21:31:07.471+08:00,9.007044,0.087969,9.039534,0.040426,0.040426,0.071375,340.240
1784986267.571387,2026-07-25T21:31:07.571+08:00,9.049425,0.096665,9.081665,0.050264,0.050264,0.462755,341.047
1784986267.721119,2026-07-25T21:31:07.721+08:00,9.096228,0.099224,9.128381,0.054086,0.054086,0.344536,391.360
1784986267.821166,2026-07-25T21:31:07.821+08:00,9.135398,0.106169,9.167350,0.062088,0.062088,0.034363,392.225
1784986267.921359,2026-07-25T21:31:07.921+08:00,9.180131,0.096771,9.213178,0.053892,0.053892,0.555386,392.805
1784986268.021146,2026-07-25T21:31:08.021+08:00,9.269614,0.095716,9.302667,0.053833,0.053833,0.755113,293.873
1784986268.121284,2026-07-25T21:31:08.121+08:00,9.306460,0.087367,9.339603,0.045894,0.045894,0.503380,294.976
1784986268.221212,2026-07-25T21:31:08.221+08:00,9.352471,0.079957,9.385694,0.038996,0.038996,0.376117,295.218
1784986268.321246,2026-07-25T21:31:08.321+08:00,9.407859,0.080052,9.441078,0.039707,0.039707,0.328257,295.878
1784986268.421247,2026-07-25T21:31:08.421+08:00,9.469873,0.074881,9.503145,0.035227,0.035227,0.386895,296.504
1784986268.521183,2026-07-25T21:31:08.521+08:00,9.528294,0.068221,9.561637,0.029217,0.029217,0.924556,297.124
1784986268.621152,2026-07-25T21:31:08.621+08:00,9.585974,0.063511,9.619366,0.025148,0.025148,1.093383,297.778
1784986268.721164,2026-07-25T21:31:08.721+08:00,9.644043,0.057759,9.678390,0.019707,0.019707,1.023305,298.385
