

===== 2026-05-17T03:51:54.672134 start unitree_cmd_node =====
[INFO] [1778961116.512089920] [unitree_cmd_node]: unitree_cmd_node ACTIVE: /patrol_cmd -> /api/sport/request
[INFO] [1778961116.512809888] [unitree_cmd_node]: Move api_id=1008, StopMove api_id=1003
[INFO] [1778961130.943444544] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.026
[INFO] [1778961130.993511072] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.033
[INFO] [1778961131.043456192] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.033
[INFO] [1778961131.093399808] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.028
[INFO] [1778961131.143493696] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.028
[INFO] [1778961131.193508384] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.031
[INFO] [1778961131.243533504] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.031
[INFO] [1778961131.293232096] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.031
[INFO] [1778961131.343450304] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.031
[INFO] [1778961131.393746848] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.022
[INFO] [1778961131.443593440] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.022
[INFO] [1778961131.493585792] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.031
[INFO] [1778961131.543931232] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.031
