1784813297.794949 [0] unitree_sa: config: //CycloneDDS/Domain/General: 'NetworkInterfaceAddress': deprecated element (file:///tmp/go2_cyclonedds_eth0.xml line 4)
[INFO] [1784813298.396142915] [unitree_safe_cmd_node]: unitree_safe_cmd_node ACTIVE: obstacle -> Move(0,0,0), resume after 5 clear frames; lateral swept ROI enabled
[INFO] [1784813298.399350952] [unitree_safe_cmd_node]: cloud safety freshness uses local receive time; message header stamp is diagnostic only, receive_timeout=1.00s
[INFO] [1784813298.402579121] [unitree_safe_cmd_node]: output mode: Twist -> /cmd_vel
[INFO] [1784813342.088377533] [unitree_safe_cmd_node]: Move x=0.500, y=-0.000, z=-0.350, stop_count=0, roi_count=2, lateral_count=0, nearest_x=1.40, clear_frames=385, cloud_receive_age=0.043s, cloud_stamp_age=0.131s
[INFO] [1784813342.588148558] [unitree_safe_cmd_node]: Move x=0.500, y=-0.000, z=-0.200, stop_count=0, roi_count=8, lateral_count=0, nearest_x=1.33, clear_frames=390, cloud_receive_age=0.052s, cloud_stamp_age=0.126s
[INFO] [1784813343.138326580] [unitree_safe_cmd_node]: Move x=0.500, y=-0.000, z=0.200, stop_count=0, roi_count=6, lateral_count=0, nearest_x=1.32, clear_frames=395, cloud_receive_age=0.011s, cloud_stamp_age=0.121s
[INFO] [1784813343.688175121] [unitree_safe_cmd_node]: Move x=0.500, y=-0.000, z=0.200, stop_count=0, roi_count=0, lateral_count=0, nearest_x=inf, clear_frames=400, cloud_receive_age=0.059s, cloud_stamp_age=0.126s
[INFO] [1784813344.188123059] [unitree_safe_cmd_node]: Move x=0.500, y=-0.000, z=-0.236, stop_count=0, roi_count=12, lateral_count=0, nearest_x=1.35, clear_frames=405, cloud_receive_age=0.063s, cloud_stamp_age=0.124s
[INFO] [1784813344.738124810] [unitree_safe_cmd_node]: Move x=0.500, y=-0.000, z=0.050, stop_count=0, roi_count=7, lateral_count=0, nearest_x=1.37, clear_frames=411, cloud_receive_age=0.014s, cloud_stamp_age=0.127s
[INFO] [1784813345.288463683] [unitree_safe_cmd_node]: Move x=0.500, y=-0.000, z=0.200, stop_count=0, roi_count=12, lateral_count=0, nearest_x=1.37, clear_frames=416, cloud_receive_age=0.070s, cloud_stamp_age=0.126s
[INFO] [1784813345.838358029] [unitree_safe_cmd_node]: Move x=0.500, y=-0.000, z=-0.249, stop_count=0, roi_count=0, lateral_count=0, nearest_x=inf, clear_frames=422, cloud_receive_age=0.008s, cloud_stamp_age=0.141s
[INFO] [1784813346.338451002] [unitree_safe_cmd_node]: Move x=0.500, y=-0.000, z=-0.150, stop_count=0, roi_count=7, lateral_count=0, nearest_x=1.36, clear_frames=427, cloud_receive_age=0.032s, cloud_stamp_age=0.121s
[INFO] [1784813346.888706671] [unitree_safe_cmd_node]: Move x=0.500, y=-0.000, z=0.200, stop_count=0, roi_count=5, lateral_count=0, nearest_x=1.44, clear_frames=432, cloud_receive_age=0.076s, cloud_stamp_age=0.130s
[INFO] [1784813347.438402974] [unitree_safe_cmd_node]: Move x=0.500, y=-0.000, z=0.050, stop_count=0, roi_count=11, lateral_count=0, nearest_x=1.31, clear_frames=438, cloud_receive_age=0.029s, cloud_stamp_age=0.130s
[INFO] [1784813347.938194758] [unitree_safe_cmd_node]: Move x=0.500, y=-0.000, z=-0.200, stop_count=0, roi_count=9, lateral_count=0, nearest_x=1.33, clear_frames=443, cloud_receive_age=0.039s, cloud_stamp_age=0.124s
[INFO] [1784813348.438155009] [unitree_safe_cmd_node]: Move x=0.500, y=-0.000, z=0.050, stop_count=0, roi_count=7, lateral_count=0, nearest_x=1.34, clear_frames=448, cloud_receive_age=0.039s, cloud_stamp_age=0.127s
[INFO] [1784813348.938474240] [unitree_safe_cmd_node]: Move x=0.500, y=-0.000, z=0.150, stop_count=0, roi_count=12, lateral_count=0, nearest_x=1.37, clear_frames=453, cloud_receive_age=0.038s, cloud_stamp_age=0.130s
[INFO] [1784813349.489019720] [unitree_safe_cmd_node]: Move x=0.500, y=-0.000, z=-0.100, stop_count=0, roi_count=1, lateral_count=0, nearest_x=1.39, clear_frames=458, cloud_receive_age=0.099s, cloud_stamp_age=0.124s
[INFO] [1784813349.991064287] [unitree_safe_cmd_node]: Move x=0.500, y=-0.000, z=-0.200, stop_count=0, roi_count=3, lateral_count=0, nearest_x=1.38, clear_frames=464, cloud_receive_age=0.006s, cloud_stamp_age=0.122s
[INFO] [1784813350.538665364] [unitree_safe_cmd_node]: Move x=0.500, y=-0.000, z=0.150, stop_count=0, roi_count=11, lateral_count=0, nearest_x=1.36, clear_frames=469, cloud_receive_age=0.056s, cloud_stamp_age=0.123s
