SDK2 receiver started on interface: eth0
UDP listen port: 5005
StandUp ret=0
BalanceStand ret=0
Periodic BalanceStand during Move: disabled
recv cmd vx=0.5 vy=-0 vyaw=-0.217412 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=0.2 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=-0.2 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=0.150221 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=-0.0502071 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=-0.15013 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=0.2 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=-0.2 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=0.2 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=-0.2 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=0.2 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=-0.2 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=0.2 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=-0.286305 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=0.2 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=0.29547 move_ret=0
recv cmd vx=0.493878 vy=-0 vyaw=-0.432983 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=-0.418789 move_ret=0
recv cmd vx=0.437922 vy=-0 vyaw=0.449995 move_ret=0
recv cmd vx=0.428785 vy=-0 vyaw=0.582946 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=-0.0498581 move_ret=0
recv cmd vx=0.35 vy=-0 vyaw=-0.6 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=-0.257212 move_ret=0
recv cmd vx=0.444428 vy=-0 vyaw=0.546907 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=0.399624 move_ret=0
recv cmd vx=0.423491 vy=-0 vyaw=-0.590131 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=-0.0261585 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=0.222327 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=-0.2 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=0.2 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=-0.149803 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=0.152413 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=-0.2 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=0.2 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=-0.2 move_ret=0
