1784731513.788775 [0] unitree_sa: config: //CycloneDDS/Domain/General: 'NetworkInterfaceAddress': deprecated element (file:///tmp/go2_cyclonedds_eth0.xml line 4)
[INFO] [1784731514.191919345] [unitree_safe_cmd_node]: unitree_safe_cmd_node ACTIVE: obstacle -> Move(0,0,0), resume after 5 clear frames; lateral swept ROI enabled
[INFO] [1784731514.194194867] [unitree_safe_cmd_node]: output mode: Twist -> /cmd_vel
[INFO] [1784731562.953331989] [unitree_safe_cmd_node]: Move x=0.500, y=-0.044, z=-0.005, stop_count=0, roi_count=6, lateral_count=0, nearest_x=1.36, clear_frames=441
[INFO] [1784731563.503233078] [unitree_safe_cmd_node]: Move x=0.500, y=-0.032, z=-0.004, stop_count=0, roi_count=11, lateral_count=0, nearest_x=1.39, clear_frames=447
[INFO] [1784731564.053357422] [unitree_safe_cmd_node]: Move x=0.500, y=-0.021, z=-0.003, stop_count=0, roi_count=7, lateral_count=0, nearest_x=1.31, clear_frames=452
[INFO] [1784731564.558050384] [unitree_safe_cmd_node]: Move x=0.500, y=-0.034, z=-0.004, stop_count=0, roi_count=11, lateral_count=0, nearest_x=1.35, clear_frames=458
[INFO] [1784731565.103295436] [unitree_safe_cmd_node]: Move x=0.500, y=-0.048, z=-0.006, stop_count=0, roi_count=7, lateral_count=0, nearest_x=1.37, clear_frames=463
[INFO] [1784731565.603836543] [unitree_safe_cmd_node]: Move x=0.500, y=-0.013, z=-0.003, stop_count=0, roi_count=14, lateral_count=0, nearest_x=1.33, clear_frames=468
[INFO] [1784731566.152809494] [unitree_safe_cmd_node]: Move x=0.500, y=-0.024, z=-0.004, stop_count=0, roi_count=12, lateral_count=0, nearest_x=1.35, clear_frames=474
[INFO] [1784731566.703350317] [unitree_safe_cmd_node]: Move x=0.500, y=-0.026, z=-0.004, stop_count=0, roi_count=3, lateral_count=0, nearest_x=1.32, clear_frames=479
[INFO] [1784731567.203468766] [unitree_safe_cmd_node]: Move x=0.500, y=-0.032, z=-0.004, stop_count=0, roi_count=12, lateral_count=0, nearest_x=1.34, clear_frames=484
[INFO] [1784731567.753241823] [unitree_safe_cmd_node]: Move x=0.500, y=-0.024, z=-0.004, stop_count=0, roi_count=8, lateral_count=0, nearest_x=1.30, clear_frames=490
[INFO] [1784731568.303348827] [unitree_safe_cmd_node]: Move x=0.500, y=-0.023, z=-0.004, stop_count=0, roi_count=10, lateral_count=0, nearest_x=1.34, clear_frames=495
[INFO] [1784731568.806129452] [unitree_safe_cmd_node]: Move x=0.500, y=-0.033, z=-0.004, stop_count=0, roi_count=5, lateral_count=0, nearest_x=1.38, clear_frames=500
[INFO] [1784731569.352957858] [unitree_safe_cmd_node]: Move x=0.500, y=-0.032, z=-0.004, stop_count=0, roi_count=6, lateral_count=0, nearest_x=1.36, clear_frames=506
